id_alumno,genero,edad,provincia,situacion_laboral,horas_trabajo_sem,horas_estudio_sem,materia,asistencia_pct,parcial_1_pct,parcial_2_pct,parcial_3_pct,nota_final_pct,condicion_cursado,aprobado
1,M,31,Buenos Aires,No trabaja,0,7.0,Proyecto Integrador,83,78,53,46,38,Regular,No
2,F,28,CABA,Part-time,21,7.0,Proyecto Integrador,91,72,69,66,63,Regular,No
3,M,18,Neuquen,No trabaja,0,8.0,Proyecto Integrador,84,76,58,66,63,Regular,No
4,M,28,Buenos Aires,No trabaja,0,10.0,Proyecto Integrador,84,56,62,69,57,Regular,No
5,M,26,Rio Negro,Part-time,21,10.0,Proyecto Integrador,100,63,57,67,70,Regular,Si
6,F,34,Mendoza,Part-time,9,10.0,Proyecto Integrador,83,68,71,55,73,Regular,Si
7,F,39,Santa Fe,No trabaja,0,11.0,Proyecto Integrador,100,79,65,74,88,Regular,Si
8,M,38,Santa Fe,No trabaja,0,13.0,Proyecto Integrador,85,62,60,77,74,Regular,Si
9,M,27,La Pampa,No trabaja,0,17.0,Proyecto Integrador,100,71,85,89,73,Promocion,Si
10,M,38,Buenos Aires,Part-time,24,8.0,Proyecto Integrador,67,48,69,61,71,Libre,Si
11,M,34,Buenos Aires,Full-time,33,13.0,Proyecto Integrador,85,60,67,72,58,Regular,No
12,M,20,Mendoza,Full-time,49,5.0,Proyecto Integrador,94,67,51,51,74,Regular,Si
13,F,18,Santa Fe,Full-time,41,5.0,Proyecto Integrador,82,68,63,68,83,Regular,Si
14,M,30,Santa Fe,Part-time,21,11.0,Proyecto Integrador,78,49,56,60,62,Libre,No
15,F,20,Buenos Aires,No trabaja,0,11.0,Proyecto Integrador,93,69,39,66,88,Regular,Si
16,F,18,Cordoba,Part-time,22,5.0,Proyecto Integrador,75,60,48,61,60,Libre,No
17,F,38,Neuquen,No trabaja,0,15.0,Proyecto Integrador,63,59,51,42,70,Libre,Si
18,M,34,Santa Fe,Part-time,25,7.0,Proyecto Integrador,78,59,66,61,63,Libre,No
19,M,18,Misiones,Full-time,46,8.0,Proyecto Integrador,74,52,67,54,68,Libre,No
20,M,39,Buenos Aires,Part-time,24,2.0,Proyecto Integrador,81,44,41,67,41,Regular,No
21,F,34,Rio Negro,Full-time,40,16.0,Proyecto Integrador,77,55,69,66,88,Libre,Si
22,M,22,Buenos Aires,No trabaja,0,17.0,Proyecto Integrador,98,50,86,77,62,Regular,No
